Mass,CC11Pre1_Oct,CC11Pre2_Jul,CC11Pre2_Oct,CC11Pre3_Jul,CC11Pre3_Oct,CC15Post_Oct,CC15Pre_Oct,CC20Post_Oct,CC20Pre_Oct,Coal11Post1_Jun,Coal11Post2_Jun,Coal11Post3_Jun,Coal11Pre1_Jun,Coal11Pre2_Jun,Coal11Pre3_Jun,Coal20Post1_Jun,Coal20Post2_Jun,Coal20Post3_Jun,Coal20Pre1_Jun,Coal20Pre2_Jun,Coal20Pre3_Jun,CC11Post_Oct,CC11Post1_Jul,CC11Post2_Jul,CC11Post3_Jul,CC11Pre1_Jul
692.72242168628,0,0,0,0,0,0,1599361.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692.844813162731,0,0,0,0,0,5213854,1927562.5,0,3194457.3,0,1888305.4,0,0,0,2337105.8,3422113,2879600,2578807.5,0,0,0,0,1581939,0,0,1916566.8
692.845263003525,0,0,0,0,0,0,0,1371682.1,0,0,0,2455374.8,0,2252048.8,0,0,0,0,0,0,0,0,0,0,0,0
692.935484007656,0,0,0,0,0,0,0,0,0,0,0,1935696.5,1481546.1,0,0,0,0,0,0,0,0,0,0,0,0,0
692.935969013003,0,0,0,0,0,0,1623697,1904180.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692.957315546477,0,0,0,0,0,0,0,0,0,1306495.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.025440013722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952434.3,0,0,0,0
693.033613998832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300211.8,0,0,0,0
693.036977834881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481559.6,0,0,0,0,0,0
693.057833796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321752.8,0,0,0,0,0,0
693.058435404481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481571.6,0,0,0,0,0,0,0,0,0,0,0
693.073418832751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030820.4,1563993.5,0,0,0,0,0,0
693.073967361538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616740.9,0,0,0,0,0,0,0,0,0,0,0
693.094275738413,0,0,0,0,0,0,0,0,0,0,0,0,2389337.3,2836260.3,2524518.5,0,0,0,4191975.3,4506458.5,2587349.3,0,0,0,0,1656999.1
693.109064777972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975017.3,0,0,0,0,0,0,0
693.109689237247,0,0,0,0,0,0,0,0,0,0,0,0,0,2015013.5,0,0,0,0,0,2424155.5,0,0,0,0,0,0
693.110183617139,0,0,0,0,0,0,0,0,0,0,0,0,1522522.9,0,1770343.9,0,0,0,0,0,0,0,0,0,0,0
693.130736270766,0,0,0,0,0,0,0,0,0,0,0,0,3425116.8,2314023,3268969.5,0,0,0,3791596.3,4249436.5,2877144,0,0,0,0,1734313.5
693.145708264647,0,0,0,0,0,0,0,0,0,0,0,0,1848414.3,0,0,0,0,0,0,1538909.3,0,0,0,0,0,0
693.146076712902,0,0,0,0,0,0,0,0,0,0,0,0,0,1644840.3,0,0,0,0,0,0,0,0,0,0,0,0
693.167204023369,0,0,0,0,0,0,1733025.3,0,0,0,0,0,3691360.5,3782954,3427180.8,0,0,1941370.4,4189937,4033374.3,3859163,0,0,0,0,0
693.203591440231,0,0,0,0,0,0,0,0,0,0,1702995,0,5106532,4455725,4067183.8,1581486.9,0,0,4391670,4641632.5,4452062,0,0,0,0,2294958.3
693.204064275884,0,1909863.4,0,2406352.3,1703319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.215271095894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562846.9,0,0,0,0,0
693.219032291385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823601,0,0,0,1544440,1488737.1,0,0,0,0,0,0
693.231684697934,0,0,0,0,0,0,0,0,0,0,0,0,1613158.6,0,0,0,0,0,0,0,0,0,0,0,0,0
693.239281816595,2114761.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.240020545088,0,0,0,2249181.3,0,0,0,0,0,0,0,0,6035303.5,6018351.5,5341042.5,1803184.3,1351282.9,1695611.1,5676795,5143394,5012193,0,0,0,0,2372784.5
